Name,Energy,Relative E,Boltzmann Weight
Azoxystrobin_14.log,-1389.110747,30.865378000275427,2.7050026340517757e-06
Azoxystrobin_2.log,-1389.109609,33.853196999895545,8.33166545212224e-07
Azoxystrobin_3.log,-1389.114591,20.77295600008665,0.00014445226460728158
Azoxystrobin_4.log,-1389.122365,0.36231900027917163,0.45028501084391553
Azoxystrobin_5.log,-1389.097994,64.34837950021017,5.020653784564702e-12
Azoxystrobin_6.log,-1389.100391,58.05505600027959,5.998068178553626e-11
Azoxystrobin_7.log,-1389.111478,28.946137500046802,5.76356353157359e-06
Azoxystrobin_8.log,-1389.119621,7.566690999998968,0.02632018114712058
Azoxystrobin_9.log,-1389.117759,12.455372000192597,0.0038324414359159377
Benalaxyl_1.log,-1056.587775,0.010501999973484999,0.3325289304240847
Benalaxyl_2.log,-1056.587778,0.0026254996948864573,0.3335628568012048
Benalaxyl_3.log,-1056.587779,0.0,0.33390821277471044
Bendiocarb_1.log,-782.890977,0.0,0.9985959153981512
Bendiocarb_2.log,-782.884631,16.661423000020307,0.0014040846018488489
Benfuracarb_1.log,-1664.116335,30.272014999982616,6.572640756679854e-06
Benfuracarb_10.log,-1664.116705,29.300580000047376,9.638822117293426e-06
Benfuracarb_2.log,-1664.116567,29.662898999729578,8.356116796203388e-06
Benfuracarb_3.log,-1664.116558,29.686528499968404,8.27865441882556e-06
Benfuracarb_4.log,-1664.115972,31.225071499665773,4.514417704035015e-06
Benfuracarb_5.log,-1664.117786,26.462414499750935,2.9501432180837176e-05
Benfuracarb_6.log,-1664.121236,17.40443949993528,0.001047923786604798
Benfuracarb_7.log,-1664.127865,0.0,0.9988747842026668
Benfuracarb_8.log,-1664.114289,35.643787999553524,7.9110463707357e-07
Benfuracarb_9.log,-1664.116705,29.300580000047376,9.638822117293426e-06
Benzoximate_1.log,-1587.931006,75.27045950009517,1.0175717126378494e-13
Benzoximate_2.log,-1587.945058,38.376933500115115,2.1026372513459594e-07
Benzoximate_3.log,-1587.94244,45.250492500073165,1.400206872655439e-08
Benzoximate_4.log,-1587.956924,7.22275049997188,0.04524175263771769
Benzoximate_5.log,-1587.959675,0.0,0.7796217599110303
Benzoximate_6.log,-1587.958232,3.7885965002847115,0.17513626318535633
